field,value
metadata_schema_version,1
trial_uuid,20000000-0000-4000-8000-000000000001
session_id,20000000-0000-4000-8000-000000000001
created_at_local_iso8601,2026-09-02T13:00:00-05:00
started_at_local_iso8601,2026-09-02T13:01:00-05:00
stopped_at_local_iso8601,2026-09-02T13:01:01-05:00
actual_duration_s,1.0
planned_duration_s,
stop_reason,ui
incomplete,false
species_code,Mrot
species_name,
trial_type,prelim
trial_number,2
well_id,A6
individual_id,
attempt,1
operator,
notes,Golden two-event fixture
arm_radius_m,0.1
circumference_m,0.6283185307179586
min_event_interval_us,50000
device_id,SIM-FM-0001
exact_esp32s3_dev_board_model,ESP32-S3 SuperMini HW-747 V0.0.2 (ESP32-S3FH4R2)
hardware_revision,
firmware_version,sim-0.1.0
protocol_version,1
application_version,0.1.0-dev
serial_port,SIM
baud_rate,115200
accepted_event_count,2
final_dropped_events,0
raw_csv_sha256,73160976fc6332a1c320e12f2afecc7a6b9f876785d54b3079320c81cd0e43cc
